DT,ruo,vol,T,C,MinRate,Percentile25,Percentile75,MaxRate,StatusXML,DateUpdate
9/3/2021,6.3200,94.3000,28,21,6.00,6.25,6.40,6.50,0,9/6/2021
9/2/2021,6.0500,219.2000,53,24,5.75,6.00,6.20,6.40,0,9/3/2021
9/1/2021,6.3200,155.6400,43,21,5.90,6.10,6.40,6.50,0,9/2/2021
8/31/2021,6.4800,182.4000,41,22,6.20,6.35,6.50,6.60,0,9/1/2021
8/30/2021,6.5100,138.7500,28,21,6.15,6.43,6.55,6.60,0,8/31/2021
8/27/2021,6.4700,105.6000,30,21,6.20,6.35,6.50,6.50,0,8/30/2021
8/26/2021,6.4800,92.6000,27,19,6.25,6.40,6.50,6.60,0,8/27/2021
8/25/2021,6.5100,127.7500,33,24,6.15,6.40,6.60,6.60,0,8/26/2021
8/24/2021,6.4500,181.8500,47,23,6.15,6.40,6.50,6.60,0,8/25/2021
8/23/2021,6.4000,139.3500,33,20,6.25,6.40,6.50,6.60,0,8/24/2021
8/20/2021,6.4600,124.4500,37,21,6.25,6.40,6.50,6.75,0,8/23/2021
8/19/2021,6.4600,194.7500,44,21,6.00,6.40,6.50,6.55,0,8/20/2021
8/18/2021,6.4800,106.0700,32,20,6.25,6.40,6.50,6.65,0,8/19/2021
8/17/2021,6.7000,216.6500,35,19,6.30,6.50,6.75,6.75,0,8/18/2021
8/16/2021,6.5000,62.3000,18,16,6.15,6.50,6.70,6.80,0,8/17/2021
8/13/2021,6.3900,51.2000,14,15,6.10,6.30,6.45,6.45,0,8/16/2021
8/12/2021,6.3200,78.2500,24,18,6.00,6.25,6.35,6.45,0,8/13/2021
8/11/2021,6.2400,89.6000,23,21,6.00,6.18,6.35,6.50,0,8/12/2021
8/10/2021,6.2500,123.0500,25,17,6.25,6.25,6.25,6.85,0,8/11/2021
8/9/2021,6.2200,94.9000,31,22,6.00,6.10,6.25,6.30,0,8/10/2021
8/6/2021,6.0200,146.1500,37,21,5.70,5.90,6.15,6.30,0,8/9/2021
8/5/2021,5.7500,190.4300,42,25,5.60,5.75,5.85,6.25,0,8/6/2021
8/4/2021,5.8600,98.6000,34,21,5.65,5.75,6.00,6.25,0,8/5/2021
8/3/2021,5.6100,59.2000,21,19,5.50,5.50,6.00,6.10,0,8/4/2021
8/2/2021,6.1900,196.7000,46,20,5.75,6.15,6.30,6.65,0,8/3/2021
7/30/2021,6.7600,173.1000,42,22,6.50,6.70,7.00,7.25,0,8/2/2021
7/29/2021,7.1900,197.0000,42,22,6.50,7.00,7.25,7.50,0,7/30/2021
7/28/2021,6.6100,188.3500,41,23,6.20,6.25,7.00,7.50,0,7/29/2021
7/27/2021,6.2400,334.4900,59,20,5.70,6.06,6.25,6.50,0,7/28/2021
7/26/2021,6.2500,189.1000,41,19,5.75,6.15,6.25,6.30,0,7/27/2021
7/23/2021,5.7500,544.6800,68,21,5.35,5.70,5.75,5.85,0,7/26/2021
7/22/2021,5.7000,511.1000,78,22,5.35,5.65,5.70,5.80,0,7/23/2021
7/21/2021,5.7600,377.9000,70,22,5.30,5.70,5.80,5.90,0,7/22/2021
7/20/2021,5.8500,212.2000,38,21,5.55,5.80,5.85,5.95,0,7/21/2021
7/19/2021,5.7800,237.9500,42,20,5.60,5.75,5.85,6.25,0,7/20/2021
7/16/2021,5.7100,200.6000,38,21,5.50,5.65,5.75,5.90,0,7/19/2021
7/15/2021,5.6000,208.0000,38,21,5.55,5.60,5.60,5.75,0,7/16/2021
7/14/2021,5.6000,165.5000,36,20,5.20,5.55,5.60,5.65,0,7/15/2021
7/13/2021,5.5500,55.6000,15,15,5.35,5.55,5.59,5.65,0,7/14/2021
7/12/2021,5.5000,60.2000,18,18,5.40,5.50,5.50,5.75,0,7/13/2021
7/9/2021,5.4800,65.6000,21,17,5.45,5.45,5.55,5.75,0,7/12/2021
7/8/2021,5.4100,62.4000,19,17,5.25,5.40,5.50,5.75,0,7/9/2021
7/7/2021,5.3600,75.6000,26,19,5.10,5.30,5.45,5.55,0,7/8/2021
7/6/2021,5.2700,87.1000,27,21,5.00,5.25,5.35,5.55,0,7/7/2021
7/5/2021,5.3100,93.7000,30,20,5.15,5.30,5.45,5.55,0,7/6/2021
7/2/2021,5.1100,107.9000,33,21,5.00,5.00,5.30,5.50,0,7/5/2021
7/1/2021,5.0600,227.8800,46,23,4.75,4.90,5.25,5.50,0,7/2/2021
6/30/2021,5.2800,65.4000,23,19,5.00,5.18,5.45,5.75,0,7/1/2021
6/29/2021,5.4200,162.3900,37,21,5.10,5.40,5.50,5.60,0,6/30/2021
6/28/2021,5.4600,269.1000,37,21,5.25,5.40,5.50,5.50,0,6/29/2021
6/25/2021,5.4300,225.0500,36,16,5.20,5.25,5.41,5.55,0,6/28/2021
6/24/2021,5.1000,232.9700,42,22,4.90,5.05,5.10,5.40,0,6/25/2021
6/23/2021,5.0900,204.5500,44,24,5.00,5.05,5.15,5.35,0,6/24/2021
6/22/2021,5.1800,166.3000,43,26,5.00,5.10,5.25,5.40,0,6/23/2021
6/21/2021,5.1700,163.8000,37,24,4.95,5.15,5.30,5.45,0,6/22/2021
6/18/2021,5.3400,188.1000,36,21,5.10,5.25,5.35,5.50,0,6/21/2021
6/17/2021,5.3500,149.5500,33,20,5.05,5.35,5.45,5.55,0,6/18/2021
6/16/2021,5.3600,179.9500,36,21,5.00,5.35,5.40,5.50,0,6/17/2021
6/15/2021,5.3600,200.2200,38,20,5.00,5.35,5.40,5.60,0,6/16/2021
6/11/2021,5.2000,108.8000,22,15,5.00,5.20,5.20,5.25,0,6/15/2021
6/10/2021,5.0400,124.2500,31,18,4.85,5.00,5.10,5.25,0,6/11/2021
6/9/2021,5.0000,177.0500,39,22,4.80,5.00,5.00,5.15,0,6/10/2021
6/8/2021,4.7300,75.4000,31,22,4.50,4.61,4.84,6.50,0,6/9/2021
6/7/2021,4.3800,140.3500,45,22,4.05,4.25,4.60,4.75,0,6/8/2021
6/4/2021,4.7500,56.5000,26,20,4.25,4.70,4.80,4.95,0,6/7/2021
6/3/2021,4.7400,84.0000,29,21,4.50,4.65,4.80,4.85,0,6/4/2021
6/2/2021,4.8000,58.9000,23,19,4.60,4.75,4.85,4.95,0,6/3/2021
6/1/2021,4.7700,82.0500,26,23,4.50,4.70,4.85,4.90,0,6/2/2021
5/31/2021,4.8500,118.8000,34,23,4.40,4.80,4.95,5.10,0,6/1/2021
5/28/2021,4.9700,121.0500,31,22,4.85,4.90,5.00,5.05,0,5/31/2021
5/27/2021,4.9300,141.2000,34,20,4.70,4.90,5.00,5.05,0,5/28/2021
5/26/2021,4.9000,155.1000,42,23,4.75,4.90,4.95,5.10,0,5/27/2021
5/25/2021,4.8900,160.3500,45,24,4.55,4.80,4.90,5.00,0,5/26/2021
5/24/2021,4.7700,151.4000,40,24,4.50,4.75,4.85,4.95,0,5/25/2021
5/21/2021,4.8200,193.6000,46,24,4.70,4.80,4.90,4.95,0,5/24/2021
5/20/2021,4.8100,233.2000,52,26,4.75,4.80,4.95,5.00,0,5/21/2021
5/19/2021,4.9100,150.7000,39,21,4.70,4.90,4.99,5.00,0,5/20/2021
5/18/2021,4.9700,,,,,,,,1,5/19/2021
5/17/2021,4.9700,,,,,,,,1,5/18/2021
5/14/2021,4.9700,,,,,,,,1,5/17/2021
5/13/2021,4.8400,107.9000,34,22,4.65,4.80,4.90,5.00,0,5/14/2021
5/12/2021,4.7500,75.3500,30,21,4.50,4.65,4.90,5.00,0,5/13/2021
5/11/2021,4.2700,95.9500,33,20,3.90,4.25,4.50,4.80,0,5/12/2021
5/7/2021,4.2300,55.3500,23,17,4.05,4.16,4.25,4.40,0,5/11/2021
5/6/2021,4.3000,57.8500,24,18,4.00,4.10,4.46,4.60,0,5/7/2021
5/5/2021,4.5300,113.3000,33,22,4.25,4.40,4.65,4.75,0,5/6/2021
5/4/2021,4.7100,210.0900,42,27,4.20,4.60,4.75,4.90,0,5/5/2021
4/30/2021,4.8400,153.6000,34,22,4.45,4.75,4.95,5.10,0,5/4/2021
4/29/2021,4.8800,88.0000,30,25,4.80,4.80,4.95,5.10,0,4/30/2021
4/28/2021,4.8500,165.6000,44,24,4.75,4.80,4.90,5.25,0,4/29/2021
4/27/2021,4.6000,261.7000,48,22,4.50,4.50,4.76,4.90,0,4/28/2021
4/26/2021,4.8100,325.1000,54,23,4.40,4.75,4.85,4.95,0,4/27/2021
4/23/2021,4.4000,248.0000,41,21,4.25,4.40,4.45,4.60,0,4/26/2021
