Date,RUB=X
2019-01-01,69.17400360107422
2019-01-02,68.89250183105469
2019-01-03,69.02580261230469
2019-01-04,68.85910034179688
2019-01-07,67.56600189208984
2019-01-08,66.74829864501953
2019-01-09,66.8864974975586
2019-01-10,66.65270233154297
2019-01-11,66.86720275878906
2019-01-14,66.85220336914062
2019-01-15,66.98539733886719
2019-01-16,67.01349639892578
2019-01-17,66.31600189208984
2019-01-18,66.3467025756836
2019-01-21,66.20490264892578
2019-01-22,66.3635025024414
2019-01-23,66.4761962890625
2019-01-24,66.03710174560547
2019-01-25,65.73040008544922
2019-01-28,65.74629974365234
2019-01-29,66.20980072021484
2019-01-30,65.96330261230469
2019-01-31,65.41439819335938
2019-02-01,65.36329650878906
2019-02-04,65.45179748535156
2019-02-05,65.54129791259766
2019-02-06,65.60710144042969
2019-02-07,65.77749633789062
2019-02-08,65.8936996459961
2019-02-11,65.40029907226562
2019-02-12,65.77030181884766
2019-02-13,65.8301010131836
2019-02-14,66.51580047607422
2019-02-15,66.6229019165039
2019-02-18,66.2052993774414
2019-02-19,66.20269775390625
2019-02-20,65.76570129394531
2019-02-21,65.62989807128906
2019-02-22,65.64990234375
2019-02-25,65.40450286865234
2019-02-26,65.56790161132812
2019-02-27,65.64810180664062
2019-02-28,65.72579956054688
2019-03-01,65.82559967041016
2019-03-04,65.82469940185547
2019-03-05,65.65910339355469
2019-03-06,65.78939819335938
2019-03-07,65.92410278320312
2019-03-08,66.25389862060547
2019-03-11,66.34970092773438
2019-03-12,65.83110046386719
2019-03-13,65.58350372314453
2019-03-14,65.33769989013672
2019-03-15,65.44309997558594
2019-03-18,64.7957992553711
2019-03-19,64.33059692382812
2019-03-20,64.3302001953125
2019-03-21,63.80070114135742
2019-03-22,63.79399871826172
2019-03-25,64.50129699707031
2019-03-26,64.01950073242188
2019-03-27,64.30690002441406
2019-03-28,64.81559753417969
2019-03-29,64.90869903564453
2019-04-01,65.60220336914062
2019-04-02,65.21109771728516
2019-04-03,65.31659698486328
2019-04-04,65.18280029296875
2019-04-05,65.39289855957031
2019-04-08,65.3634033203125
2019-04-09,64.87419891357422
2019-04-10,64.86250305175781
2019-04-11,64.23919677734375
2019-04-12,64.5687026977539
2019-04-15,64.34760284423828
2019-04-16,64.30870056152344
2019-04-17,64.01699829101562
2019-04-18,63.854400634765625
2019-04-19,63.89609909057617
2019-04-22,63.98809814453125
2019-04-23,63.78450012207031
2019-04-24,63.669700622558594
2019-04-25,64.38710021972656
2019-04-26,64.6093978881836
2019-04-29,64.63150024414062
2019-04-30,64.43180084228516
2019-05-01,64.55879974365234
2019-05-02,64.7240982055664
2019-05-03,65.36599731445312
2019-05-06,65.32689666748047
2019-05-07,65.2791976928711
2019-05-08,65.3667984008789
2019-05-09,65.02449798583984
2019-05-10,65.2020034790039
2019-05-13,65.143798828125
2019-05-14,65.28939819335938
2019-05-15,64.85859680175781
2019-05-16,64.64440155029297
2019-05-17,64.6272964477539
2019-05-20,64.68389892578125
2019-05-21,64.46109771728516
2019-05-23,64.34559631347656
2019-05-24,64.82659912109375
2019-05-27,64.43589782714844
2019-05-28,64.3407974243164
2019-05-29,64.63379669189453
2019-05-30,64.9207992553711
2019-05-31,65.21389770507812
2019-06-03,65.5551986694336
2019-06-04,65.3031005859375
2019-06-05,65.12999725341797
2019-06-06,65.27850341796875
2019-06-07,65.03279876708984
2019-06-10,64.82839965820312
2019-06-11,64.70120239257812
2019-06-12,64.55030059814453
2019-06-13,64.77639770507812
2019-06-14,64.51809692382812
2019-06-17,64.32820129394531
2019-06-18,64.29869842529297
2019-06-19,63.957698822021484
2019-06-20,63.731998443603516
2019-06-21,62.8671989440918
2019-06-24,63.05699920654297
2019-06-25,62.52989959716797
2019-06-26,62.8661003112793
2019-06-27,63.00559997558594
2019-06-28,63.05739974975586
2019-07-01,62.95830154418945
2019-07-02,62.90840148925781
2019-07-03,63.27069854736328
2019-07-04,63.28089904785156
2019-07-05,63.43170166015625
2019-07-08,63.72700119018555
2019-07-09,63.65409851074219
2019-07-10,63.813201904296875
2019-07-11,63.11600112915039
2019-07-12,62.79570007324219
2019-07-15,63.110198974609375
2019-07-16,62.646400451660156
2019-07-17,62.96379852294922
2019-07-18,62.902198791503906
2019-07-19,62.85409927368164
2019-07-22,62.976200103759766
2019-07-23,63.0010986328125
2019-07-24,63.16510009765625
2019-07-25,63.24509811401367
2019-07-26,63.15129852294922
2019-07-29,63.17660140991211
2019-07-30,63.41419982910156
2019-07-31,63.49079895019531
2019-08-01,63.56460189819336
2019-08-02,64.29989624023438
2019-08-05,65.22650146484375
2019-08-06,65.71990203857422
2019-08-07,65.25430297851562
2019-08-08,65.3292007446289
2019-08-09,65.07720184326172
2019-08-12,65.27880096435547
2019-08-13,65.41259765625
2019-08-14,64.88050079345703
2019-08-15,66.04650115966797
2019-08-16,66.05239868164062
2019-08-19,66.35820007324219
2019-08-20,66.9352035522461
2019-08-21,66.41940307617188
2019-08-22,65.76629638671875
2019-08-23,65.52950286865234
2019-08-26,66.24369812011719
2019-08-27,66.09320068359375
2019-08-28,66.41130065917969
2019-08-29,66.74510192871094
2019-08-30,66.49150085449219
2019-09-02,66.73799896240234
2019-09-03,66.75679779052734
2019-09-04,66.74569702148438
2019-09-05,66.19120025634766
2019-09-06,66.16709899902344
2019-09-09,65.75849914550781
2019-09-10,65.51470184326172
2019-09-11,65.31729888916016
2019-09-12,65.42160034179688
2019-09-13,64.72859954833984
2019-09-16,63.899600982666016
2019-09-17,63.968299865722656
2019-09-18,64.28810119628906
